Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Art-Nouveau Apt. w/ balcony (2 adults+1kid) P3,Barcelona,€ 972,Yes,1,4.82,82138,https://www.airbnb.com/rooms/51116523?search_mode=regular_search&adults=1&check_in=2026-02-17&check_out=2026-02-22&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3rqApLvhfxqNzDG&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Bright & quiet in Eixample close P. de Gracia av.,Barcelona,€ 974,Yes,1,4.87,8747,https://www.airbnb.com/rooms/20579430?search_mode=regular_search&adults=1&check_in=2026-03-08&check_out=2026-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P34rQScKZtDDuoPP&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Modern and authentic in the heart of Poble Sec,Barcelona,€ 712,Yes,1,4.91,91435,https://www.airbnb.com/rooms/12693694?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3Lyt2x1kp2mZ8kA&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Deluxe boutique apartment in the center,Barcelona,€ 820,Yes,0,4.68,251,https://www.airbnb.com/rooms/31842989?search_mode=regular_search&adults=1&check_in=2026-02-21&check_out=2026-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3Ihb4Wb-64qjmwC&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
"Cosy comfort central sunny, 2 Bbr",Barcelona,€ 779,Yes,0,4.83,191,https://www.airbnb.com/rooms/49028532?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3_BtP46AMMhC9qF&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Spacious & Trendy Apartment near Sagrada Familia,Barcelona,€ 962,Yes,1,4.87,866,https://www.airbnb.com/rooms/30760852?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P383tAcPgSpq-GF0&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Modern Apartment in Sant Antoni Barcelona,Barcelona,€ 987,Yes,1,5.0,0115,https://www.airbnb.com/rooms/797737825175871349?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3Wd8X-8PpQDN4Ke&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Aparment City Center Rosselló,Barcelona,€ 973,Yes,0,4.85,280,https://www.airbnb.com/rooms/6808901?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3sPRuqZFzCH5wdA&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Rooftop Rambla Badal,Barcelona,€ 673,Yes,1,4.87,87165,https://www.airbnb.com/rooms/796959273185621371?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3VBZaNN3cNSik1j&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Comfortable apartment with Sagrada Familia Views,Barcelona,€ 820,Yes,1,4.97,97151,https://www.airbnb.com/rooms/591189288332716179?search_mode=regular_search&adults=1&check_in=2026-02-09&check_out=2026-02-14&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3OcZqG0K7RcvAVE&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Huge@Rambla: bright & comfy. Perfect location,Barcelona,€ 820,Yes,0,4.68,522,https://www.airbnb.com/rooms/1446649?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3fD2q41NIv1NzLx&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
La Mediterránea - Homecelona Apartments,Barcelona,€ 710,Yes,0,4.81,358,https://www.airbnb.com/rooms/13106697?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3vyXnJPB0gLf2XZ&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Uma Suites Sagrada Familia - 2 Bedrooms,Barcelona,"€ 1,036",Yes,1,4.82,82168,https://www.airbnb.com/rooms/879509664098716584?search_mode=regular_search&adults=1&check_in=2026-11-01&check_out=2026-11-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3pXBi8NSPgU3cWB&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Flat by Forgetmenot,Barcelona,€ 903,Yes,1,4.94,9467,https://www.airbnb.com/rooms/1081786469505954609?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507395_P37Y_MxOqzN_pEmr&previous_page_section_name=1000&federated_search_id=1cd7259c-3bca-49fb-a8ab-ee353bc1888d
