Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Attic openspace with Two Terraces InTrastevere!,Rome,"7,897 kr NOK",Yes,1,4.93,93494,https://www.airbnb.com/rooms/4289442?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P35a0ZidBv8nKIn1&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Monte Mario Ca.Fa. holiday,Rome,"3,815 kr NOK",Yes,1,4.97,9732,https://www.airbnb.com/rooms/1451614863542259198?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3ALHaZxZxwAFaud&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Modern 2 Bedroom Apartment Marconi Trastevere stn,Rome,"4,484 kr NOK",Yes,1,4.85,85186,https://www.airbnb.com/rooms/14687885?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3_N8G4Oqa5J_UCV&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
[Rome Metro A - San Giovanni] Lodi Apartment,Rome,"4,957 kr NOK",Yes,1,4.89,8927,https://www.airbnb.com/rooms/1307088790199884252?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3wRIEL3xFleVgx_&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Piccolo Arancio Apartment - Trevi Fountain,Rome,"8,245 kr NOK",No,0,4.33,3,https://www.airbnb.com/rooms/1542049230159729041?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3revdIOdwV_Tx81&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Cipro street,Rome,"6,206 kr NOK",No,0,4.84,32,https://www.airbnb.com/rooms/1419796504337633821?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3cngNwoCYAhE1yI&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
La Garbata Ostella,Rome,"6,337 kr NOK",Yes,1,4.95,9520,https://www.airbnb.com/rooms/1492627043928621360?search_mode=regular_search&adults=1&check_in=2026-03-03&check_out=2026-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3WHKd6IVBhxkPx9&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Luxury Apartment with St Peter's Dome View,Rome,"7,408 kr NOK",Yes,0,4.82,310,https://www.airbnb.com/rooms/649115972823430363?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3vQB_5SdSIq4Pdu&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Blue Soul Flat - Holiday Homes Rome,Rome,"3,972 kr NOK",No,0,New,1,https://www.airbnb.com/rooms/1566587455476319788?search_mode=regular_search&adults=1&check_in=2026-02-15&check_out=2026-02-20&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P32GLxXL4GfdwVdn&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Domus Angela,Rome,"4,383 kr NOK",Yes,1,5.0,017,https://www.airbnb.com/rooms/1347888712871907014?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3L4n5N15YBk625Q&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Bright Family Home in Trastevere,Rome,"6,015 kr NOK",Yes,0,New,2,https://www.airbnb.com/rooms/1561797155735803626?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3pXmpP6J1-ZlbC8&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Borgo Vittorio 2 bdr @St Peters,Rome,"7,548 kr NOK",Yes,1,4.89,8982,https://www.airbnb.com/rooms/843222641930391378?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3CAc6TDOSfTPMnY&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
